,A,AMZN,BABA,BBRY,BMO,BTI,BX,C,CMRE,CSH,DATA,DDD,DRYS,DWNI.DE,FLTX,GFS.L,GS,IBM,INTU,ISP.MI,JCI,KKR,LC,LEAF,NDAQ,ORIG,TVPT,TWTR,AEGN.AT,MYTIL.AT,OPAP.AT,HTO.AT,TITK.AT,ALPHA.AT,ETE.AT,TPEIR.AT,LHA.DE,DPW.DE,IXIC
2012-09-04 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-05 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-06 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-10 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-11 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-12 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-13 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-14 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-17 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-18 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-19 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-20 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-24 16:00:00,0.1906944710229011,-0.3414871052982224,-inf,-1.7705077264640865,-0.19890815938036074,0.7141339641845272,0.6142817293020054,0.4037720642230768,0.5078516503103299,-1.349133398085461,,-1.247006568802157,0.5051073555005735,1.0935760133685826,inf,1.2893482401857066,0.022472292783072386,0.4908575700099444,-1.5124336847655395,-1.1755129097942323,0.3908785851905214,0.694370934957416,,inf,-0.01706364283576742,-0.7162490491411351,inf,inf,2.366431913239847,0.7271677992656763,-1.768931376360327,0.7580468017775486,1.0371154954185104,0.3316255973694766,0.3236766753086233,0.2918512004147936,0.8146491046607711,0.011669341197176327,0.45887486710181
