counter is 1	counter is 1
223	10 1 -1.5 -1.5 -1 1 -1.28015803539 -0.105365449649
counter is 2	counter is 2
359	10 1 -1.5 -1.5 1 -1 -0.168921977373 -0.0812221675348
counter is 3	counter is 3
185	10 1 -1.5 -1.5 1 1 0.729347702022 -0.124137298115
counter is 4	counter is 4
244	10 1 -1.5 -1 -1 -1 -0.216685191813 -0.135184962627
counter is 5	counter is 5
328	10 1 -1.5 -1 -1 1 -1.34041019228 -0.194830226842
counter is 6	counter is 6
165	10 1 -1.5 -1 1 -1 -0.219943493075 -0.0858021675348
counter is 7	counter is 7
80	10 1 -1.5 -1 1 1 0.457595891445 -0.127357298115
counter is 8	counter is 8
361	10 1 -1.5 0 -1 -1 -0.212650228146 -0.133434962627
counter is 9	counter is 9
372	10 1 -1.5 0 -1 1 -1.29853479371 -0.175513718122
counter is 10	counter is 10
48	10 1 -1.5 0 1 -1 -0.309447247049 -0.281910978349
counter is 11	counter is 11
36	10 1 -1.5 0 1 1 0.192489265659 -0.128757298115
counter is 12	counter is 12
387	10 1 -1.5 1 -1 -1 -0.170342910089 -0.0813121675348
counter is 13	counter is 13
400	10 1 -1.5 1 -1 1 -1.26771999806 -0.158681588772
counter is 14	counter is 14
22	10 1 -1.5 1 1 -1 0.252743490476 -0.488232561203
counter is 15	counter is 15
8	10 1 -1.5 1 1 1 0.8078393149 -0.275031408329
counter is 16	counter is 16
398	10 1 -1.5 1.5 -1 -1 -0.150873473015 -0.0799921675348
counter is 17	counter is 17
405	10 1 -1.5 1.5 -1 1 -1.25860707853 -0.157951588772
counter is 18	counter is 18
11	10 1 -1.5 1.5 1 -1 0.0622708170305 -0.55478863192
counter is 19	counter is 19
3	10 1 -1.5 1.5 1 1 1.04787538263 0.0292407700928
counter is 20	counter is 20
42	10 1 -1.3 -1.5 -1 -1 0.239475548588 0.00399339949261
counter is 21	counter is 21
213	10 1 -1.3 -1.5 -1 1 -1.42324526704 -0.102905449649
counter is 22	counter is 22
438	10 1 -1.3 -1.5 1 -1 0.305337843618 -0.0401021675348
counter is 23	counter is 23
266	10 1 -1.3 -1.5 1 1 -0.676839617629 -0.117062822961
counter is 24	counter is 24
222	10 1 -1.3 -1 -1 -1 0.254028546924 -0.107963374519
counter is 25	counter is 25
354	10 1 -1.3 -1 -1 1 -1.66140475562 -0.238394962627
counter is 26	counter is 26
258	10 1 -1.3 -1 1 -1 -0.0849588670929 -0.0777721675348
counter is 27	counter is 27
125	10 1 -1.3 -1 1 1 0.481451567311 -0.126727298115
counter is 28	counter is 28
407	10 1 -1.3 0 -1 -1 0.241139321126 -0.0766884826325
counter is 29	counter is 29
427	10 1 -1.3 0 -1 1 -1.61522784472 -0.218489093703
counter is 30	counter is 30
73	10 1 -1.3 0 1 -1 0.533983094839 -0.0802878459303
counter is 31	counter is 31
52	10 1 -1.3 0 1 1 0.263370705125 -0.128247298115
counter is 32	counter is 32
446	10 1 -1.3 1 -1 -1 0.28616816227 -0.0417021675348
counter is 33	counter is 33
466	10 1 -1.3 1 -1 1 -1.58495084578 -0.201442822961
counter is 34	counter is 34
34	10 1 -1.3 1 1 -1 0.402697852863 -0.316262622916
counter is 35	counter is 35
13	10 1 -1.3 1 1 1 1.12358097056 -0.185146790306
counter is 36	counter is 36
466	10 1 -1.3 1.5 -1 -1 0.288390216301 -0.0414921675348
counter is 37	counter is 37
476	10 1 -1.3 1.5 -1 1 -1.56471328592 -0.199982822961
counter is 38	counter is 38
14	10 1 -1.3 1.5 1 -1 0.673333763771 -0.316472622916
counter is 39	counter is 39
3	10 1 -1.3 1.5 1 1 1.04787538263 0.0292407700928
