counter is 36	counter is 36
1198	10 1 -1.3 1.5 -1 -1 -0.902211050367 -0.307195087797
counter is 37	counter is 37
1260	10 1 -1.3 1.5 -1 1 -0.837154060729 -0.279925087797
counter is 38	counter is 38
141	10 1 -1.3 1.5 1 -1 -0.969750447224 -0.593122868531
counter is 39	counter is 39
79	10 1 -1.3 1.5 1 1 -1.25318491547 -0.602090963592
counter is 40	counter is 40
85	10 1 -1.0 -1.5 -1 -1 -0.578904964687 -0.350388646291
counter is 41	counter is 41
361	10 1 -1.0 -1.5 -1 1 -0.339157193598 -0.0920753653459
counter is 42	counter is 42
1431	10 1 -1.0 -1.5 1 -1 -0.311421479265 -0.0256950877966
counter is 43	counter is 43
1158	10 1 -1.0 -1.5 1 1 -1.26925453525 -0.469045087797
counter is 44	counter is 44
241	10 1 -1.0 -1 -1 -1 -0.238288032132 -0.335038379462
counter is 45	counter is 45
576	10 1 -1.0 -1 -1 1 -0.296343454066 -0.029208379462
counter is 46	counter is 46
1275	10 1 -1.0 -1 1 -1 -0.360769333134 -0.0510750877966
counter is 47	counter is 47
943	10 1 -1.0 -1 1 1 -2.03244177446 -0.546275087797
counter is 48	counter is 48
687	10 1 -1.0 0 -1 -1 -0.0279796136368 0.0531770179586
counter is 49	counter is 49
895	10 1 -1.0 0 -1 1 -0.616440771187 -0.177541768108
counter is 50	counter is 50
829	10 1 -1.0 0 1 -1 -1.22536716952 -0.457785087797
counter is 51	counter is 51
624	10 1 -1.0 0 1 1 -2.05628429959 -0.536695087797
counter is 52	counter is 52
1126	10 1 -1.0 1 -1 -1 -0.357379782724 -0.0509155329412
counter is 53	counter is 53
1230	10 1 -1.0 1 -1 1 -0.679600274582 -0.206115532941
counter is 54	counter is 54
390	10 1 -1.0 1 1 -1 -0.898002919719 -0.45781721946
counter is 55	counter is 55
289	10 1 -1.0 1 1 1 -1.58005277353 -0.49197721946
counter is 56	counter is 56
1352	10 1 -1.0 1.5 -1 -1 -0.341020412663 -0.0417350877966
counter is 57	counter is 57
1428	10 1 -1.0 1.5 -1 1 -0.665184077613 -0.200595087797
counter is 58	counter is 58
164	10 1 -1.0 1.5 1 -1 -0.770550107281 -0.593556372921
counter is 59	counter is 59
91	10 1 -1.0 1.5 1 1 -2.33684437966 -0.617230963592
counter is 60	counter is 60
52	10 1 0 -1.5 -1 -1 -2.20991407676 -0.378217661536
counter is 61	counter is 61
283	10 1 0 -1.5 -1 1 -1.75033300402 -0.489388646291
counter is 62	counter is 62
1579	10 1 0 -1.5 1 -1 -1.56415076528 -0.595465087797
counter is 63	counter is 63
1351	10 1 0 -1.5 1 1 -2.07522108715 -0.828285087797
counter is 64	counter is 64
139	10 1 0 -1 -1 -1 -1.33463766121 -0.368368379462
